playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Danny Ings,16499950.45,18000000,2020,27,11,38,32,2804,22,2,90,35,38.9,0.23,437,64.5,29,15,,86,55,14,12,5,51,859,26.4,1115,61.3,1256,723,57.6,70,37,188,25.5
Kai Pröger,1154996.532,1260000,2020,27,18,31,22,2079,2,6,27.5,2.21,0.04,0,332,53.4,189,15,,83,28,14,9,4,44,527,25,980,58.9,741,526,71,63,12,155,24
Andrej Kramarić,31914204.17,34200000,2019,27,9,30,28,2396,17,4,37.6,3.79,0.12,5,829,76.9,92,17,,117,74,14,10,9,16,385,23.1,1381,61.2,1337,1019,76.2,53,8,179,14.3
Gonçalo Guedes,34198589.31,36000000,2018,20,4,33,27,2435,5,7,60,22,36.7,0,749,76.5,52,19,46,108,79,14,20,14,32,493,22.3,1338,66.7,1245,1004,80.6,73,38,171,33.3
Cristiano Ronaldo,85496473.27,90000000,2018,32,3,27,27,2288,26,5,40.3,6.92,0.13,3,616,79.7,34,19,,98,61,14,18,10,5,225,25.3,1093,68.9,1353,905,66.9,47,19,72,59.5
Paulo Dybala,94046120.6,99000000,2018,23,1,33,26,2353,22,3,36.7,4.17,0.17,3,1107,84,93,19,,143,71,14,16,9,20,408,25,1749,57.5,1616,1375,85.1,78,16,149,18.2
Gerard Deulofeu,16499950.45,18000000,2020,25,19,28,25,2098,4,5,63,22,34.9,0.05,603,73.3,91,20,,88,51,14,7,5,29,511,26,1126,58.3,1107,769,69.5,53,27,164,16.7
Lautaro Martínez,52799841.45,57600000,2020,21,2,35,29,2452,14,3,34.4,4.48,0.1,2,307,61.9,16,21,,85,46,14,12,4,17,507,25.4,941,57.7,1183,687,58.1,83,54,125,30.2
Kylian Mbappé,128244709.9,135000000,2018,18,1,28,25,2169,13,9,84,34,39.5,0,577,79.6,44,22,31,101,68,14,15,9,9,194,35.3,1057,55.1,1141,878,77.1,62,9,101,20
Paulo Dybala,71387035.64,76500000,2019,24,1,30,24,2137,5,4,31.3,2.7,0.06,1,1079,84.2,85,22,,102,60,14,11,7,16,433,20.6,1612,50.9,1518,1251,82.4,58,18,146,31.3
Richarlison,21374118.32,22500000,2018,20,14,38,32,2823,5,4,100,25,25,0.05,532,63.1,52,23,,82,43,14,13,5,52,599,26.2,1442,48.1,1428,1009,70.7,112,37,197,37.8
Gerard Deulofeu,15117254.61,16200000,2019,24,11,30,26,2066,10,5,62,23,37.1,0.16,580,73,61,24,,80,61,14,16,7,10,508,25.2,1075,62,1233,802,65,50,14,140,12.5
Timo Werner,54590086.08,58500000,2019,22,3,30,29,2509,16,7,37.3,3.66,0.16,0,610,72.3,47,28,,82,53,14,15,10,17,366,28.4,1229,44.2,1459,947,64.9,73,25,136,13.3
Ante Rebić,33593899.12,36000000,2019,24,7,28,23,1978,9,4,46.7,2.73,0.15,0,311,56.2,45,30,,80,52,14,10,6,26,402,27.6,900,51.6,1195,687,57.5,77,47,116,40
