playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Nemanja Radonjić,5958315.442,6500000,2020,23,2,21,8,880,5,1,30,14,46.7,0,254,73.2,14,11,24,28,18,4,3,2,9,168,24.4,524,55,556,422,75.9,37,15,54,27.8
Fabio Borini,4199237.39,4500000,2019,27,5,20,10,1054,2,2,22.6,2.65,0.06,0,263,69,14,11,,34,22,4,3,2,16,251,23.1,564,43.8,460,372,80.9,18,14,64,57.6
Fabio Borini,4199237.39,4500000,2019,27,5,20,10,1054,2,2,22.6,2.65,0.06,0,263,69,14,11,,34,22,4,3,2,16,251,23.1,564,43.8,460,372,80.9,18,14,64,57.6
Rafinha,23939012.52,25200000,2018,24,4,17,12,1043,2,2,16,8,50,0,652,88.1,18,11,9,54,44,4,8,5,20,304,28.9,902,73.7,810,709,87.5,27,11,97,35.7
Maxwel Cornet,11399529.77,12000000,2018,20,3,30,13,1271,4,5,33,13,39.4,0,399,76.6,41,12,27,49,30,4,8,5,16,221,18.6,721,52.2,681,530,77.8,30,14,100,25
Iñigo Córdoba,3359389.912,3600000,2019,21,8,23,15,1321,0,4,22,8,36.4,0,308,67.4,44,12,31,32,23,4,6,5,36,392,24.2,684,50.7,616,463,75.2,41,19,98,35.3
Jesé,4199237.39,4500000,2019,25,10,14,9,779,2,0,19,8,42.1,0,154,74.4,2,12,15,19,11,4,1,0,10,198,22.2,284,40,339,197,58.1,12,7,39,16.7
M'Baye Niang,10078169.74,10800000,2019,23,10,29,19,1793,11,4,62,23,37.1,2,293,69.6,25,13,31,36,21,4,9,4,24,285,29.1,724,56.7,889,541,60.9,69,45,76,45.8
Karim Bellarabi,10259576.79,10800000,2018,27,5,24,13,1146,1,3,38.1,3.3,0.02,0,389,73.4,54,13,,49,36,4,4,4,19,252,27,732,59.6,640,528,82.5,24,19,86,16.7
Edinson Cavani,33593899.12,36000000,2019,31,1,21,20,1671,18,5,46,17,37,4,276,75.8,5,14,14,29,17,4,9,4,9,317,22.4,536,66.7,645,380,58.9,36,13,72,33.3
Santi Mina,17099294.65,18000000,2018,21,4,32,17,1560,12,2,42,18,42.9,1,361,76.8,7,14,10,39,23,4,8,4,16,482,19.7,695,61.8,821,518,63.1,48,25,72,32.4
Youssef En-Nesyri,10078169.74,10800000,2019,21,13,31,22,2106,9,2,72,23,31.9,0,278,56.2,34,15,39,31,20,4,3,2,14,534,17.6,838,47.2,1241,640,51.6,66,36,86,55.9
Ashley Barnes,6839717.862,7200000,2018,27,7,36,21,2165,9,0,63,25,39.7,0.14,306,60.1,16,15,,48,33,4,5,5,12,468,26.3,827,61.5,1100,578,52.5,75,53,107,30.5
Gabriel Jesus,68397178.62,72000000,2018,20,1,29,19,1668,13,3,56,32,57.1,0.23,464,80.7,2,15,,54,35,4,13,7,19,295,29.2,797,73,890,603,67.8,43,28,76,29.7
Stevan Jovetić,13299451.4,14000000,2018,27,2,15,7,753,8,0,52,22,36.8,0,254,68.9,6,15,18,39,26,4,7,4,6,193,16.3,530,33.3,632,408,63.4,29,21,64,36.4
Ismaila Sarr,20212439.31,22050000,2020,21,19,28,22,2028,5,4,44,13,29.5,0.11,438,72.8,97,15,,68,49,4,8,5,25,423,24.1,931,51.5,1051,692,65.8,65,22,143,26.9
Emil Forsberg,23515729.39,25200000,2019,26,3,20,14,1249,4,7,42.3,1.87,0.04,3,405,76.3,49,15,,69,48,4,17,11,14,239,32.2,693,57.9,656,503,76.7,36,7,84,53.8
Jamie Vardy,17099294.65,18000000,2018,30,9,37,37,3247,20,1,64,29,45.3,0.23,314,60.2,40,16,,58,43,4,5,3,18,448,29.2,791,41.3,1296,529,40.8,64,29,117,36.8
Santi Mina,11962464.08,13050000,2020,23,17,34,21,1944,6,3,48,14,29.2,0,500,70.8,30,16,34,49,34,4,7,3,14,405,24.9,996,36.7,1198,752,62.8,60,45,115,44
Marco Asensio,33593899.12,36000000,2019,22,3,30,19,1779,1,4,45,17,37.8,0,842,82.5,78,16,43,63,48,4,11,7,14,257,24.1,1233,64.3,1214,994,81.9,34,18,103,11.1
Felix Klaus,3847341.297,4050000,2018,24,13,28,25,1981,4,2,41.8,2.5,0.07,0,487,71,71,16,,73,30,4,10,2,46,476,28.6,1001,45.8,925,619,66.9,43,28,177,35.5
Pascal Groß,7837476.466,8550000,2020,28,15,29,22,1796,2,4,29,9,31,0.07,762,74.1,146,16,,93,51,4,8,3,33,395,26.1,1222,52.6,1118,855,76.5,32,25,123,31.3
Maxwel Cornet,9624971.098,10500000,2020,22,7,22,14,1330,4,3,24,13,54.2,0,499,72.3,78,16,39,45,29,4,7,3,28,219,31.1,890,66.7,721,570,79.1,25,14,123,45
Roberto Pereyra,7424977.704,8100000,2020,28,19,28,17,1648,3,0,19,8,42.1,0.11,538,82.3,31,16,,41,26,4,1,0,17,344,27,898,41,875,620,70.9,48,21,143,20
Carles Pérez,7424977.704,8100000,2020,21,5,24,10,1042,2,5,38.1,3.34,0.05,0,418,84.5,24,17,,41,26,4,11,8,18,187,57,668,56.5,632,513,80.2,26,18,68,10
Gareth Bale,76946825.94,81000000,2018,28,3,26,20,1794,16,4,78,30,38.5,1,604,78.4,56,18,30,68,57,4,9,5,17,283,25.1,995,57.6,1074,818,76.2,32,25,67,54.8
Sergi Enrich,2519542.434,2700000,2019,28,12,35,30,2582,7,4,70,17,24.3,0,683,73.8,6,18,37,56,45,4,12,7,30,638,27.7,1257,74.2,1878,956,50.9,90,65,156,41.8
Andrea Petagna,16796949.56,18000000,2019,23,13,36,35,3031,16,1,43.4,2.46,0.12,6,590,75.8,32,18,,68,56,4,7,6,17,318,21.7,1189,53.8,1384,930,67.2,85,44,125,35.4
Yunus Mallı,6412235.495,6750000,2018,25,16,31,24,2242,5,4,30.2,2.13,0.09,0,653,76,46,18,,68,53,4,9,8,22,369,24.4,1159,58.8,1053,844,80.2,49,14,168,17.1
Nolito,4274823.664,4500000,2018,30,7,30,17,1599,4,5,37,18,48.6,0,462,70.6,29,19,44,63,51,4,13,10,39,300,29.3,899,62.3,877,624,71.2,38,23,138,30
Ismaila Sarr,11969506.26,12600000,2018,19,5,24,22,1858,5,3,41,15,36.6,0.12,324,75.2,35,21,,53,30,4,8,4,18,335,21.8,763,47.3,864,569,65.9,70,18,104,40
Maximilian Arnold,14024957.89,15300000,2020,25,7,33,32,2821,4,8,27,2.01,0.06,0,1152,74.8,166,21,,120,51,4,13,5,57,578,32,1860,73.3,1151,1057,91.8,22,52,350,53.5
Pascal Groß,10078169.74,10800000,2019,27,17,25,24,1864,3,3,21,7,33.3,0.1,654,69,141,21,,77,40,4,6,1,24,623,16.5,1124,83.3,948,739,78,30,12,151,13.8
Robert Andrich,3299990.091,3600000,2020,24,11,30,30,2572,1,2,14,1.75,0.02,0,857,71.2,39,21,,77,54,4,6,5,78,639,24.7,1547,71.1,934,842,90.1,19,66,401,58.6
Willian José,21374118.32,22500000,2018,25,12,34,32,2763,15,4,87,27,31,3,639,73.9,15,22,27,71,57,4,9,7,6,443,29.6,1156,76.7,1346,907,67.4,57,32,115,40
Maxi Gómez,33593899.12,36000000,2019,21,17,35,33,2960,13,5,81,28,34.6,1,516,73.2,12,22,28,72,49,4,12,6,8,434,23.7,1064,45.9,1521,774,50.9,86,70,114,46.7
Imran Louza,8249975.227,9000000,2020,20,13,24,22,2009,2,2,37,13,35.1,0,901,77.9,75,22,14,59,38,4,4,4,58,596,24.7,1413,50,1195,964,80.7,36,46,191,29.3
Pierre-Emerick Aubameyang,64122354.95,67500000,2018,28,6,29,28,2473,23,7,82,40,51,0.26,459,69.5,39,23,,58,44,4,18,10,9,420,24.4,916,66,1190,660,57,49,18,101,31
Marco Reus,41992373.9,45000000,2019,29,2,27,27,2316,17,8,46.3,2.6,0.21,3,849,80.1,37,23,,85,65,4,19,14,38,618,25.1,1392,50.8,1411,1064,75.4,63,34,136,40.7
Mariusz Stępiński,3191420.417,3420000,2019,23,20,35,27,2476,6,2,25.4,2.29,0.1,0,438,74.7,18,23,,60,47,4,4,2,26,630,19,930,61.5,1337,688,51.5,82,61,107,32.6
Yacine Adli,5774982.659,6300000,2020,19,12,21,11,1020,3,3,18,6,33.3,0,459,79.4,39,23,7,37,25,4,7,3,27,326,25.8,737,57.1,611,548,89.7,27,13,85,39.1
Anwar El Ghazi,4274823.664,4500000,2018,22,17,27,19,1648,4,4,62,30,48.4,0.06,434,68.5,106,24,,50,27,4,6,4,21,190,26.3,853,50.9,823,618,75.1,41,17,75,41.2
Marco Asensio,68397178.62,72000000,2018,21,3,32,19,1845,6,4,56,22,39.3,0,1028,83.8,106,24,41,100,80,4,13,13,19,300,20.7,1414,71,1335,1158,86.7,27,7,98,
Alfredo Donnarumma,3959988.109,4320000,2020,28,19,31,20,1684,7,2,34.2,2.03,0.13,2,307,69,7,24,,42,30,4,5,4,13,345,19.1,613,53.8,779,449,57.6,25,18,81,23.1
Sergio Canales,16499950.45,18000000,2020,28,15,36,36,3163,6,6,47,14,29.8,3,1865,84,155,25,47,138,99,4,14,9,30,376,22.3,2527,67.1,2156,1931,89.6,40,27,232,13.2
Lucas Pérez,9899970.272,10800000,2020,30,16,34,29,2496,11,5,43,14,32.6,5,448,63.5,138,25,28,91,44,4,9,6,12,391,27.4,938,45.7,1123,594,52.9,55,27,116,26.2
Ryad Boudebouz,5699764.885,6000000,2018,27,6,27,15,1364,2,3,19,12,63.2,0,634,75.5,55,25,24,57,46,4,6,5,24,327,23.9,1007,64.2,890,765,86,29,20,96,41.2
Francesco Caputo,4537486.375,4950000,2020,31,8,35,32,2841,21,7,44.9,2.19,0.28,2,623,78.5,9,27,,91,80,4,16,10,8,368,26.1,1064,56.1,1321,845,64,64,24,91,26.9
Manuel Lanzini,17099294.65,18000000,2018,24,13,27,23,2042,5,6,43,16,37.2,0.12,1057,83.1,83,27,,72,48,4,12,9,17,410,23.7,1522,57.1,1212,1084,89.4,43,9,212,27.3
Thomas Müller,34198589.31,36000000,2018,27,1,29,22,2005,8,14,38.8,2.2,0.16,0,736,73.3,78,27,,90,79,4,21,19,35,400,31.3,1232,65.2,1309,993,75.9,53,21,117,43.1
José Callejón,17099294.65,18000000,2018,30,2,38,38,3238,10,9,47.8,1.86,0.15,0,1290,77,203,31,,125,90,4,19,9,35,726,23.6,1973,51,1879,1413,75.2,37,22,240,26.3
Fabio Quagliarella,2099618.695,2250000,2019,35,9,37,37,3199,26,8,36.9,3.66,0.13,9,627,67.5,34,31,,76,56,4,18,13,16,726,22.2,1369,57.4,1799,1009,56.1,80,32,166,29.6
Romelu Lukaku,85496473.27,90000000,2018,24,2,34,33,2867,16,7,50,2.57,0.2,0,495,66.3,36,32,,75,55,4,16,11,7,323,24.8,1059,68.5,1459,861,59,71,31,84,52
Lars Stindl,12824470.99,13500000,2018,28,9,31,31,2727,6,3,35.1,2.44,0.08,0,1282,82,18,32,,110,88,4,13,9,46,740,24.7,1969,66.7,1910,1511,79.1,61,61,235,44.8
Gonzalo Higuaín,29394661.73,31500000,2019,30,3,29,28,2363,11,1,28.9,3.73,0.11,0,538,77.8,7,33,,71,61,4,7,5,15,407,22.4,965,73.7,1264,785,60.6,57,21,94,23.5
Houssem Aouar,41992373.9,45000000,2019,20,3,37,35,3061,7,7,72,23,31.9,0,1801,87,7,42,47,107,83,4,18,10,57,595,27.4,2472,65,2207,1977,89.6,62,30,284,24.2
Alex Iwobi,26875119.3,28800000,2019,22,5,35,22,1970,3,6,35,14,40,0.09,774,75.1,58,43,,84,77,4,12,12,23,418,26.3,1302,57,1357,1073,79.1,60,8,126,16.7
Paul Lasne,2137411.832,2250000,2018,28,10,37,34,3064,1,3,46,11,23.9,0,1412,79.8,52,48,32,81,62,4,6,6,66,548,28.8,2121,73.3,1574,1461,92.8,31,53,355,50.9
Carlos Bacca,1979994.054,2160000,2020,32,5,19,7,688,2,1,17,6,35.3,0,101,75.9,3,1,6,12,7,3,2,1,3,82,25.6,205,54.5,267,149,55.8,16,8,26,36.8
Ibai Gómez,2639992.073,2880000,2020,29,11,17,6,695,0,0,14,5,35.7,0,202,63.3,92,1,14,25,8,3,2,1,5,75,30.7,400,53.3,314,235,74.8,14,3,54,25
Phil Foden,32999900.91,36000000,2020,19,2,23,9,901,5,2,34,14,41.2,0.15,431,84.8,28,2,,44,35,3,8,8,16,253,29.2,628,77.4,591,516,87.3,10,12,61,32
Edinson Cavani,16499950.45,18000000,2020,32,1,14,7,605,4,1,28,10,35.7,1,120,85.7,2,2,1,23,18,3,2,1,6,90,21.1,205,85.7,239,148,61.9,12,8,24,40
Paulinho,15262454.17,16650000,2020,19,5,13,1,304,3,2,44.4,2.66,0.33,0,115,80.4,8,3,,13,8,3,4,2,4,52,25,187,63.6,187,146,78.1,8,5,27,22.2
Mauro Icardi,49499851.36,54000000,2020,26,1,20,14,1267,12,2,36,20,55.6,0,149,83.7,4,3,10,32,26,3,9,5,6,217,25.8,284,55.6,387,195,50.4,19,12,31,30.4
Ante Budimir,1314508.277,1350000,2017,25,10,11,2,313,0,0,32,18,56.3,0,256,65.5,3,3,17,40,25,3,3,0,25,532,25.8,678,44,942,478,50.7,74,41,80,46
Yannick Carrasco,18562444.26,20250000,2020,25,3,15,6,631,1,2,17,6,35.3,0,174,75,24,3,7,25,10,3,7,2,13,148,25.7,353,54.5,319,226,70.8,17,8,60,16.7
Dominic Solanke,8549647.327,9000000,2018,19,4,24,8,838,2,1,9,3,33.3,0,73,72.3,1,3,,16,12,3,1,1,8,119,24.4,175,64.3,211,119,56.4,12,2,28,24.1
Sheraldo Becker,824997.5227,900000,2020,24,11,13,5,540,0,2,57.1,1.17,0,0,81,60.9,17,4,,15,11,3,3,3,4,84,23.8,172,69.2,231,124,53.7,10,9,33,20
Dawid Kownacki,5557270.763,5850000,2018,20,10,22,6,823,5,2,54.5,2.41,0.23,0,200,73.5,16,4,,18,11,3,5,3,9,200,22.5,384,76.5,441,290,65.8,22,14,38,48.1
Musa Barrow,5129788.396,5400000,2018,18,7,12,5,443,3,1,53.8,5.28,0.12,0,97,77,8,4,,21,14,3,1,1,3,97,26.8,220,61.9,306,186,60.8,31,2,9,22.2
Musa Barrow,5129788.396,5400000,2018,18,7,12,5,443,3,1,53.8,5.28,0.12,0,97,77,8,4,,21,14,3,1,1,3,97,26.8,220,61.9,306,186,60.8,31,2,9,22.2
Aaron Connolly,3299990.091,3600000,2020,19,15,24,14,1258,3,1,38,13,34.2,0.08,126,77.3,9,4,,22,7,3,5,1,12,234,29.5,349,37.5,535,235,43.9,42,16,54,22.6
Ahmed Kutucu,4454986.623,4860000,2020,19,12,25,3,679,3,2,33.3,1.99,0.2,0,126,71.2,6,4,,18,11,3,4,4,13,139,33.1,286,63.6,327,201,61.5,24,11,42,34.4
Andreas Cornelius,2564894.198,2700000,2018,24,7,23,8,934,3,1,31.4,3.37,0.09,0,213,70.1,11,4,,33,23,3,2,1,8,155,28.4,468,61.5,648,373,57.6,42,19,43,49.1
Sergio Floccari,247499.2568,270000,2020,37,20,24,9,942,1,0,29.4,1.62,0.06,0,206,78.9,16,4,,22,17,3,0,0,9,247,22.3,365,58.3,480,269,56,21,22,45,30.1
Mickaël Cuisance,7558627.303,8100000,2019,18,5,11,1,279,0,1,12.5,2.58,0,0,121,77.6,4,4,,12,8,3,1,1,10,91,18.7,210,78.9,177,153,86.4,10,8,31,25
Felipe Caicedo,2137411.832,2250000,2018,28,5,22,4,717,3,2,47.1,2.13,0.18,0,143,80.3,1,5,,16,11,3,2,1,10,169,25.4,259,84.2,361,201,55.7,17,18,29,40.8
Samu Castillejo,12597712.17,13500000,2019,23,5,31,8,1023,4,2,45.2,2.73,0.13,0,409,80.5,55,5,,35,25,3,3,2,17,380,25,687,42.9,645,494,76.6,17,27,73,29.4
Nadiem Amiri,16796949.56,18000000,2019,21,9,13,10,754,3,1,31.6,2.27,0.16,0,327,85.6,12,5,,30,22,3,3,1,20,159,28.9,488,69.2,399,352,88.2,6,14,72,20
Alexandre Mendy,1649995.045,1800000,2020,25,14,20,9,899,3,1,29,9,31,0,118,73.3,3,5,3,17,10,3,3,2,4,134,20.1,266,72.7,412,181,43.9,26,22,50,45.6
Christian Kouamé,14437456.65,15750000,2020,21,10,17,13,1180,5,3,20,3.4,0,0,251,71.9,5,5,,39,27,3,8,4,7,201,25,540,52.9,684,397,59.3,51,26,77,32.1
Rafael Leão,12597712.17,13500000,2019,19,2,24,16,1287,8,3,55.6,2.52,0.22,0,174,68.8,11,6,,23,16,3,6,5,7,256,16.8,401,70,569,282,49.6,30,25,49,32.2
Michy Batshuayi,34198589.31,36000000,2018,23,4,22,12,1199,9,2,42,19,43,0.2,193,69.9,0,6,,26,19,3,5,5,12,230,25,443,60,631,328,52,43,20,50,21
Grégoire Defrel,1979994.054,2160000,2020,28,8,17,9,980,3,3,40,1.84,0.1,1,305,89.2,4,6,,24,17,3,6,4,11,226,26.5,452,70.6,462,330,71.4,17,16,57,21.4
Federico Di Francesco,3299990.091,3600000,2020,25,20,19,13,1071,2,0,31.8,1.85,0.09,0,262,76.2,35,6,,36,22,3,2,1,7,167,25.1,475,55.6,483,332,68.7,24,19,71,30.4
Kelechi Iheanacho,12824470.99,13500000,2018,20,9,22,8,919,4,3,31,11,35.5,0.1,187,76.6,6,6,,27,19,3,6,4,7,181,26.5,354,50,395,266,67.3,25,17,54,33.3
André Silva,25648941.98,27000000,2018,21,6,24,7,940,2,1,30.3,3.16,0.06,0,222,75,6,6,,40,35,3,1,1,8,219,23.3,445,51.7,492,340,69.1,37,20,58,31.6
André Silva,25648941.98,27000000,2018,21,6,24,7,940,2,1,30.3,3.16,0.06,0,222,75,6,6,,40,35,3,1,1,8,219,23.3,445,51.7,492,340,69.1,37,20,58,31.6
Stiven Mendoza,2374902.035,2500000,2018,25,13,13,12,1032,2,0,25,6,24,0,256,69.9,33,6,23,29,17,3,1,1,11,155,21.9,483,62.9,440,309,70.2,16,7,84,25
Joe Willock,13199960.36,14400000,2020,19,8,29,8,857,1,1,14,4,28.6,0.07,299,81.3,7,6,,31,26,3,3,3,22,242,27.7,515,66.7,415,333,80.2,27,10,100,37.5
Ángel Rodríguez,4949985.136,5400000,2020,32,8,32,9,1407,10,3,49,23,46.9,1,197,62.5,25,7,16,35,23,3,6,3,15,301,26.6,555,57.7,862,415,48.1,65,52,73,22.9
Levin Öztunalı,2939466.173,3150000,2019,22,12,15,11,921,0,1,43.8,1.56,0,0,194,67.6,11,7,,20,13,3,3,1,21,303,23.4,414,60,328,253,77.1,20,18,91,35
Arkadiusz Milik,26399920.73,28800000,2020,25,7,26,19,1747,11,0,40.3,3.45,0.16,0,388,82.9,2,7,,47,36,3,6,4,16,289,25.3,663,62.5,824,517,62.7,39,25,59,50.7
Mehdi Abeid,1474398.906,1580000,2019,25,18,26,23,2023,3,0,35,11,31.4,1,919,85,24,7,15,42,32,3,2,2,58,449,26.1,1356,62.3,1007,897,89.1,33,57,256,53.3
Andriy Yarmolenko,9899970.272,10800000,2020,29,16,23,10,991,5,1,26,12,46.2,0.19,338,79.7,19,7,,35,29,3,6,4,15,167,27.5,545,62.5,572,418,73.1,24,16,71,33.3
Michael Obafemi,1679694.956,1800000,2019,18,16,14,9,826,5,2,20,6,33.3,0.25,139,77.8,3,7,,25,17,3,3,3,7,204,31.3,286,58.1,402,215,55.3,33,13,39,16.3
Nemanja Radonjić,5598983.187,6000000,2019,22,5,17,7,681,0,0,17,2,11.8,0,118,66.7,12,7,12,17,10,3,1,1,6,142,25.4,272,56.5,318,206,64.8,21,6,36,16.7
Marco Reus,42748236.64,45000000,2018,28,4,11,11,928,7,0,45.2,3.01,0.23,0,292,75.6,30,8,,30,20,3,4,1,19,170,33.5,527,60,517,360,69.6,18,13,73,13.6
Munir El Haddadi,7424977.704,8100000,2020,23,4,21,14,1250,5,2,44,14,31.8,0,348,76.7,33,8,28,40,26,3,4,3,27,214,33.2,652,71.4,667,482,72.3,33,15,82,39.2
Kevin Lasagna,4537486.375,4950000,2020,26,15,35,27,2479,10,0,42.5,2.9,0.13,0,323,69.2,18,8,,47,38,3,3,1,27,603,24.5,802,34.2,989,519,52.5,80,42,136,32.5
Che Adams,9899970.272,10800000,2020,23,11,30,12,1111,4,2,37,9,24.3,0.11,184,69.4,14,8,,24,15,3,5,2,8,231,25.1,441,55.6,657,315,47.9,44,17,73,25.2
Nils Petersen,5362483.897,5850000,2020,30,8,34,24,2436,11,2,36.4,2.03,0.18,1,333,64.8,12,8,,53,45,3,5,4,26,551,25.2,818,47.4,994,523,52.6,60,10,119,38.4
Emil Forsberg,18562444.26,20250000,2020,27,3,22,14,1141,5,2,33.3,1.89,0.13,2,429,79.7,24,8,,50,36,3,4,3,19,262,30.2,675,83.9,655,514,78.5,23,12,69,31.8
Douglas Costa,31914204.17,34200000,2019,27,1,17,7,621,1,0,30,2.9,0.05,0,271,77.9,46,8,,36,28,3,3,2,8,163,23.3,452,48.3,430,358,83.3,14,13,46,0
Yunus Mallı,2939466.173,3150000,2019,26,6,21,5,701,1,1,28.6,0.9,0,1,267,78.5,23,8,,30,21,3,3,3,9,138,15.2,410,62.5,367,297,80.9,7,7,65,20
Mauro Icardi,67187798.25,72000000,2019,25,4,29,24,2267,11,4,67,21,31.3,5,320,71.1,14,9,22,62,52,3,9,6,10,368,32.1,660,57.9,975,483,49.5,40,21,84,51.4
Mama Samba Baldé,2933324.525,3200000,2020,23,16,24,20,1676,6,2,50,16,32,0,253,68.8,22,9,26,44,27,3,9,6,36,372,22.6,662,52.5,693,433,62.5,60,27,106,29.8
Enes Ünal,6839717.862,7200000,2018,20,5,23,11,1134,5,1,37,17,45.9,0,202,70.9,5,9,17,29,17,3,4,2,5,229,23.6,470,28,564,355,62.9,38,24,36,39.1
Roland Sallai,2887491.329,3150000,2020,22,8,21,15,1162,2,0,35.3,2.63,0.06,0,236,68.8,42,9,,31,23,3,2,1,22,199,28.1,540,57.1,545,394,72.3,27,30,79,40
Dominic Solanke,15117254.61,16200000,2019,20,4,2,2,180,2,0,35,9,25.7,0.09,317,73.9,6,9,,43,30,3,5,2,11,644,23.4,695,52.6,818,471,57.6,58,15,120,33.1
Andrea Pinamonti,11137466.56,12150000,2020,20,17,31,23,2227,5,1,31.4,2.06,0.08,1,439,70.5,22,9,,42,25,3,5,2,21,486,20.4,936,47.7,1144,671,58.7,59,37,116,38.6
Romain Hamouma,1833327.828,2000000,2020,32,17,14,9,865,6,1,21,12,57.1,0,183,67.3,46,9,10,35,20,3,9,3,16,204,27.5,381,44.4,441,268,60.8,20,14,47,27
Jay Rodriguez,4949985.136,5400000,2020,30,10,36,20,2016,8,1,66,26,39.4,0.11,345,69.7,14,10,,31,21,3,5,4,33,574,26.1,805,45.2,1093,561,51.3,64,26,118,34.7
Aritz Aduriz,854964.7327,900000,2018,36,16,33,21,2155,9,3,54,25,46.3,3,329,64.6,20,10,27,31,18,3,2,2,10,348,27.3,731,65.7,1077,561,52.1,43,40,72,58.3
Casimir Ninga,6412235.495,6750000,2018,24,10,29,13,1286,1,0,35,10,28.6,0,196,69,21,10,18,36,28,3,3,3,7,260,24.6,477,41.9,582,337,57.9,49,29,65,19
Nicolas de Préville,5878932.347,6300000,2019,27,14,23,14,1271,3,3,31,11,35.5,0,337,66.9,75,10,24,42,22,3,5,2,29,319,24.5,757,51.7,668,509,76.2,40,44,100,54.5
Ignatius Ganago,3299990.091,3600000,2020,20,6,26,12,1239,3,1,17,6,35.3,0,283,77.3,19,10,16,32,21,3,5,2,11,285,16.8,521,43.4,581,399,68.7,35,15,65,33.3
Callum Wilson,16499950.45,18000000,2020,27,18,35,32,2908,8,1,54,22,40.7,0.15,345,64.5,21,11,,58,43,3,7,2,15,771,26.8,879,50,1391,640,46,103,55,125,26.4
Alexis Sánchez,16499950.45,18000000,2020,30,2,22,10,923,4,8,52.4,2.05,0.14,1,284,71.7,42,12,,64,42,3,13,10,9,208,30.3,526,77.1,559,398,71.2,25,19,57,20
Michail Antonio,12824470.99,13500000,2018,27,13,21,16,1354,3,1,37,15,40.5,0.08,286,59.5,55,12,,31,18,3,3,0,13,206,29.6,758,60.9,740,527,71.2,66,17,93,47
Robin Quaison,6718779.825,7200000,2019,24,12,28,25,2194,7,3,34.8,1.89,0.15,0,340,74.1,11,12,,41,33,3,5,5,21,501,20,703,50,928,526,56.7,50,33,100,19
Andrea Pinamonti,12597712.17,13500000,2019,19,19,27,17,1625,5,3,27.6,3.21,0.09,0,299,72.9,11,12,,38,30,3,8,6,15,487,20.5,630,53.3,906,467,51.5,43,30,79,31.7
Ruben Loftus-Cheek,25195424.34,27000000,2019,22,3,24,6,998,6,2,27,8,29.6,0.22,549,88,2,12,,43,33,3,5,4,18,191,33,781,64.3,735,607,82.6,20,10,99,51.5
Manolo Gabbiadini,7837476.466,8550000,2020,27,14,33,24,2035,11,1,39.5,3.8,0.12,1,377,64.9,70,13,,79,44,3,8,4,16,244,25.4,839,56.4,981,588,59.9,36,30,91,27.6
Florian Kainz,1979994.054,2160000,2020,26,14,28,16,1561,5,6,37.5,2.31,0.1,1,456,62.4,169,13,,72,42,3,7,4,22,288,23.3,942,55.3,749,600,80.1,20,16,124,22.2
Mason Mount,33412399.67,36450000,2020,20,4,37,32,2867,7,5,78,29,37.2,0.09,1116,80.9,135,14,,115,69,3,16,9,48,734,27.9,1757,61,1697,1264,74.5,74,37,214,26.4
Willian José,19799940.54,21600000,2020,27,6,37,24,2011,11,1,58,19,32.8,0,406,71.9,10,14,29,45,34,3,4,2,3,189,34.9,764,47.4,946,580,61.3,39,27,87,40.3
Vincenzo Grifo,5129788.396,5400000,2018,24,9,17,9,786,0,3,50,1.37,0,0,308,72.6,38,14,,35,25,3,6,4,7,125,20.8,499,60,410,332,81,5,2,82,45.5
Santi Mina,25195424.34,27000000,2019,22,4,30,23,1852,7,5,42,21,50,0,350,73.4,9,14,19,33,24,3,5,4,19,505,18.6,746,42.9,1027,550,53.6,62,40,89,31.4
Mark Uth,7558627.303,8100000,2019,26,14,20,15,1407,2,1,40.5,2.69,0.05,0,270,69.4,9,14,,33,24,3,3,1,21,424,23.3,593,45,666,415,62.3,49,26,76,33.3
Mark Uth,4619161.13,4950000,2019,26,14,20,15,1407,2,1,40.5,2.69,0.05,0,270,69.4,9,14,,33,24,3,3,1,21,424,23.3,593,45,666,415,62.3,49,26,76,33.3
Xherdan Shaqiri,20996186.95,22500000,2019,26,2,24,11,1064,6,3,26,10,38.5,0.23,545,78.4,47,14,,36,25,3,11,6,9,213,25.8,819,57.1,728,624,85.7,24,9,102,20
Myziane Maolida,7465310.916,8000000,2019,19,7,14,10,952,0,3,16,5,31.3,0,257,81.1,9,14,7,27,20,3,2,2,15,140,25.7,415,54.5,397,325,81.9,15,10,47,33.3
Vitolo,15117254.61,16200000,2019,28,2,20,5,753,0,1,7,1,14.3,0,259,78.2,3,14,13,22,15,3,3,2,18,219,20.1,468,60,485,354,73,13,6,60,23.8
Lars Stindl,5362483.897,5850000,2020,30,4,25,14,1432,9,3,40.6,2.01,0.22,2,616,80.8,16,15,,60,52,3,11,10,37,378,28.6,948,53.8,932,714,76.6,25,21,113,35.6
Ivan Perišić,14437456.65,15750000,2020,30,1,22,11,1206,4,3,29.3,3.06,0.1,0,448,70.9,75,15,,39,28,3,8,7,22,256,34,782,54.5,755,588,77.9,25,18,88,69.2
Karim Bellarabi,12597712.17,13500000,2019,28,4,19,14,1057,5,4,28.6,3.58,0.12,0,342,69.4,65,15,,42,34,3,6,5,14,185,31.4,665,48.7,642,513,79.9,27,17,83,100
