idx,min,gls,ast,sh,shgls,cmpp,sca,press,pressp,touches,targ
248,78,1,0,1,1,83.2,2.65,17.54,25,35.67,40.07
249,78,2,1,4,0.5,81.8,6,32,9.4,43,58
250,87,2,0,2,1,67.9,3,21,33.3,39,46
251,90,0,1,4,0,87.1,4,20,20,45,54
252,75,1,1,3,0.333333333,93.9,2,11,9.1,55,63
253,64,1,2,2,0.5,83.2,2.65,17.54,25,35.67,40.07
254,78,0,0,0,0,83.2,2.65,17.54,25,35.67,40.07
255,90,0,0,2,0,88.6,5,18,33.3,41,54
256,88,0,1,1,0,83.2,2.65,17.54,25,35.67,40.07
257,120,0,0,1,0,83.2,2.65,17.54,25,35.67,40.07
258,90,0,0,1,0,83.2,2.65,17.54,25,35.67,40.07
259,90,1,0,6,0.166666667,70,3,15,40,53,57
260,88,1,0,5,0.2,87,4,19,63.2,62,76
261,90,1,0,4,0.25,83.3,3,25,24,37,50
262,89,1,0,3,0.333333333,85.7,4,21,19,30,52
263,87,0,0,1,0,85.2,3,14,42.9,37,45
264,79,0,0,1,0,84.8,0,19,21.1,50,50
265,78,0,0,1,0,85.7,0,14,21.4,27,46
266,70,0,0,2,0,96,1,56,21.4,38,39
267,19,0,0,0,0,100,0,4,0,13,14
268,90,0,0,2.5,0,83.2,2.65,17.54,25,35.67,40.07
269,90,1,0,2.5,0.4,83.2,2.65,17.54,25,35.67,40.07
270,22,0,0,0,0,100,2,4,25,7,11
271,89,1,0,4,0.25,87.5,2,33,33.3,45,58
272,90,1,0,4,0.25,88.9,2,26,23.1,30,31
273,4,0,1,0,0,100,1,4,0,2,2
274,90,2,0,5,0.4,75,2,23,30.4,35,35
275,90,0,0,3,0,92.3,4,24,20.8,19,32
276,89,0,0,4,0,83.3,7,13,15.4,59,65
277,90,0,0,4,0,90.3,1,7,14.3,52,64
278,42,0,0,1,0,80,1,6,50,37,31
279,90,0,0,6,0,89.7,9,20,40,47,49
280,90,0,0,3,0,69.2,4,10,50,48,49
281,90,0,0,2.5,0,83.2,2.65,17.54,25,35.67,40.07
282,90,0,0,2.5,0,83.2,2.65,17.54,25,35.67,40.07
283,90,0,0,6,0,89.8,6,11,18.2,74,78
284,78,0,0,2,0,75,5,23,30.4,45,48
285,60,0,1,,0,79.9,3.03,18.3,23.8,39.78,41.14
286,90,0,0,,0,79.9,3.03,18.3,23.8,39.78,41.14
287,90,2,0,6,0.333333333,83.3,4,22,13.6,42,47
288,18,0,0,0,0,62.5,0,5,20,8,13
289,90,0,1,3,0,90.3,5,17,29.4,45,57
290,55,0,0,1,0,79.9,3.03,18.3,23.8,39.78,41.14
291,63,0,1,1,0,70,6,16,6.3,34,30
292,90,1,0,5,0.2,72,4,32,12.5,35,37
293,72,0,0,0,0,75,1,27,22.2,29,32
294,61,2,1,,0,79.9,3.03,18.3,23.8,39.78,41.14
295,90,0,0,,0,79.9,3.03,18.3,23.8,39.78,41.14
296,45,0,0,1,0,88,1,7,14.3,34,32
297,67,2,0,4,0.5,82.1,6,20,35,51,57
298,90,0,0,5,0,81,3,28,35.7,40,38
299,78,0,1,1,0,92.3,1,14,28.6,20,29
300,74,2,1,6,0.333333333,85.3,2,17,29.4,47,51
301,90,1,0,7,0.142857143,90,8,18,16.7,48,61
302,90,0,0,,0,79.9,3.03,18.3,23.8,39.78,41.14
303,90,0,0,,0,79.9,3.03,18.3,23.8,39.78,41.14
304,90,1,1,3,0.333333333,81.5,5,14,28.6,38,46
305,90,0,1,2,0,84.6,2,35,17.1,41,39
306,87,0,2,2,0,92.6,4,31,38.7,39,31
307,90,0,0,1,0,81.8,2,19,36.8,52,57
308,90,1,1,3,0.333333333,77.4,8,14,14.3,46,42
309,26,0,0,1,0,60,0,7,14.3,9,11
310,89,0,0,1,0,84,1,19,21.1,35,39
311,61,0,0,1,0,68.4,0,20,35,22,28
312,90,0,0,1,0,79.9,3.03,18.3,23.8,39.78,41.14
313,90,0,0,4,0,93.8,3,19,15.8,26,31
314,30,0,0,1,0,79.9,3.03,18.3,23.8,39.78,41.14
315,90,0,0,4,0,90.9,5,26,30.8,43,56
316,90,1,0,5,0.2,77.4,1,32,18.8,48,53
317,90,1,0,3,0.333333333,79.9,3.03,18.3,23.8,39.78,41.14
318,90,1,0,2,0.5,62.5,0,16,37.5,38,35
319,90,1,0,2,0.5,79.9,3.03,18.3,23.8,39.78,41.14
320,90,2,0,6,0.333333333,60.9,4,24,4.2,45,40
321,90,0,0,4,0,72.2,1,23,26.1,57,45
322,85,0,1,0,0,88.9,4,10,10,55,52
323,90,0,1,0,0,75.6,3,14,28.6,45,50
324,77,0,0,4,0,73.5,5,14,28.6,41,36
325,45,0,0,1,0,69.7,1,4,25,39,29
326,89,1,1,3,0.333333333,65.5,4,27,25.9,38,35
327,90,1,0,2,0.5,82.1,0,15,13.3,45,50
328,88,0,0,2,0,80,2,7,14.3,28,23
329,79,0,0,1,0,72.7,2,13,38.5,50,43
