index,min,gls,agls,assist,sh,ash,shgls,ashgls,cmpp,sca,press,pressp,touches,targ,,
198,7,0,70,0,0,418.56,0,0.167240061,80.2,2.57,11.6,25.2,35.8,39.6,,
199,90,0,70,0,2,420.56,0,0.16644474,80.2,2.57,11.6,25.2,35.8,39.6,,
200,10,0,70,0,0,420.56,0,0.16644474,83.3,0,0,25.2,10,7,,
201,66,2,72,1,5,425.56,0.4,0.169188834,80.2,2.57,11.6,25.2,35.8,39.6,,
202,70,2,74,0,4,429.56,0.5,0.172269299,88.5,3,11,36.4,40,40,,
203,90,1,75,0,7,436.56,0.142857143,0.171797691,80.2,2.57,11.6,25.2,35.8,39.6,,
204,90,2,77,0,5,441.56,0.4,0.174381737,75,3,7,42.9,43,43,,
205,90,0,77,0,2,443.56,0,0.173595455,80.2,2.57,11.6,25.2,35.8,39.6,,
206,74,0,77,0,2.56,446.12,0,0.172599301,80.2,2.57,11.6,25.2,35.8,39.6,,
207,90,0,77,1,2.56,448.68,0,0.171614514,80.2,2.57,11.6,25.2,35.8,39.6,,
208,74,0,77,0,3,451.68,0,0.170474672,82.8,3,13,7.7,38,39,,
209,67,0,77,0,2,453.68,0,0.169723153,83.3,1,8,25,33,50,,
210,26,0,77,0,1,454.68,0,0.169349872,85.7,0,7,0,18,21,,
211,90,0,77,1,3,457.68,0,0.168239818,76.9,4,9,33.3,43,61,,
212,85,0,77,0,2,459.68,0,0.167507832,80.2,2.57,11.6,25.2,35.8,39.6,,
213,74,0,77,0,0,459.68,0,0.167507832,65.4,3,29,24.1,39,48,,
214,23,0,77,0,1,460.68,0,0.167144222,88.9,2,1,0,14,9,,
215,77,0,77,1,0,460.68,0,0.167144222,73.5,2,9,22.2,43,51,,
216,6,0,77,0,0,460.68,0,0.167144222,100,0,3,0,4,8,,
217,77,1,78,0,2.56,463.24,0.390625,0.168379242,80.2,2.57,11.6,25.2,35.8,39.6,,
218,90,0,78,0,2.56,465.8,0,0.167453843,80.2,2.57,11.6,25.2,35.8,39.6,,
219,31,0,78,0,2.56,468.36,0,0.16653856,80.2,2.57,11.6,25.2,35.8,39.6,,
220,90,0,78,0,2.56,470.92,0,0.165633229,80.2,2.57,11.6,25.2,35.8,39.6,,
221,90,0,78,0,0,470.92,0,0.165633229,68,5,16,18.8,41,39,,
222,90,1,79,0,8,478.92,0.125,0.164954481,91.4,10,21,14.3,53,50,,
223,90,1,80,0,6,484.92,0.166666667,0.164975666,78.9,3,30,10,35,43,,
224,11,0,80,0,0,484.92,0,0.164975666,83.3,0,7,14.3,9,7,,
225,82,0,80,1,2.5,487.42,0,0.164129498,83.2,2.65,17.54,25,35.67,40.07,,
226,90,0,80,0,2.5,489.92,0,0.163291966,83.2,2.65,17.54,25,35.67,40.07,,
227,18,0,80,0,0,489.92,0,0.163291966,100,2,1,0,10,11,,
228,63,0,80,0,1,490.92,0,0.162959342,77.3,2,22,18.2,34,33,,
229,67,0,80,0,3,493.92,0,0.16196955,84.6,1,14,28.6,41,35,,
230,57,0,80,0,2,495.92,0,0.161316341,83.2,2.65,17.54,25,35.67,40.07,,
231,89,0,80,0,2,497.92,0,0.16066838,78.6,2,17,35.3,49,38,,
232,65,0,80,1,0,497.92,0,0.16066838,76.9,2,31,16.1,21,20,,
233,71,0,80,0,2,499.92,0,0.160025604,78.1,3,11,36.4,40,43,,
234,90,0,80,0,2.5,502.42,0,0.15922933,83.2,2.65,17.54,25,35.67,40.07,,
235,90,0,80,1,2.5,504.92,0,0.158440941,83.2,2.65,17.54,25,35.67,40.07,,
236,80,0,80,0,5,509.92,0,0.156887355,81.6,4,15,46.7,52,51,,
237,90,2,82,0,3,512.92,0.666666667,0.159868985,83.2,2.65,17.54,25,35.67,40.07,,
238,52,0,82,1,0,512.92,0,0.159868985,80,4,11,54.5,38,36,,
239,74,0,82,0,2,514.92,0,0.159248039,83.3,2,11,27.3,55,54,,
